system:index,ABC_SORT,CTU_CODE,CTU_ID,CTU_ID_CEN,CTU_NAME,CTU_TYPE,FIVE_COLOR,Shape_Area,Shape_Leng,max_LST,.geo
000000000000000000a5,66,12664,2393601,02393601,Cologne,C,2,4886859.92312,16948.1006209,{LST=105.99966315399332},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,368,67432,2397159,02397159,Waconia,C,2,1.34209146666E7,42957.3102366,{LST=105.4069350438769},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,360,66460,2397106,02397106,Vadnais Heights,C,3,2.12632360564E7,22739.9541305,{LST=104.39952405781514},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,88,15616,2394503,02394503,Dellwood,C,3,7283753.76388,21732.8104296,{LST=102.23396203566246},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,96,17486,2394596,02394596,East Bethel,C,3,1.23506064185E8,45882.4096811,{LST=104.63172158931903},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,322,58000,2396511,02396511,St. Paul,C,3,1.44986744519E8,60764.1601023,{LST=106.93907617366423},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,246,45556,2395195,02395195,New Germany,C,3,2589420.93739,13578.506012,{LST=104.61680112798666},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,16,04834,2394113,02394113,Belle Plaine,C,3,1.61764878004E7,38336.5738923,{LST=108.02665721713235},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,128,25622,2394988,02394988,Greenfield,C,3,5.56396344173E7,40090.2010307,{LST=107.6373420561113},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,178,34658,2395610,02395610,Lakeland Shores,C,3,1793847.3069,5643.75467848,{LST=99.74087757000564},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,268,46924,2395265,02395265,Northfield,C,3,3845132.36778,16980.8822495,{LST=102.34704834454152},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,254,45808,2395211,02395211,New Prague,C,3,5925265.02995,16201.0738538,{LST=105.73221295033508},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,220,41462,2395082,02395082,Medicine Lake,C,3,958895.242255,4922.33858218,{LST=101.71552072359968},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,390,70366,2397314,02397314,Willernie,C,3,330818.239614,3833.71347479,{LST=102.28322108778454},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,188,36836,2395696,02395696,Lexington,C,3,1784811.97733,8761.3551928,{LST=104.10251464645334},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,76,13456,2393644,02393644,Cottage Grove,C,3,9.78705435256E7,48474.9599896,{LST=104.64660981495196},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,276,47680,2395287,02395287,Oakdale,C,3,2.92919511496E7,30490.5262211,{LST=104.96830913784612},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,270,47520,2395278,02395278,Norwood Young America,C,3,6187192.75325,20620.7255872,{LST=106.20847961957898},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,234,43252,2395350,02395350,Minnetonka,C,3,7.24428214228E7,53181.3660757,{LST=105.40180721527095},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,258,46024,2395216,02395216,New Trier,C,3,490532.705615,3727.75402897,{LST=99.93453018982157},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,286,52594,2396284,02396284,Prior Lake,C,3,5.0509397081E7,48925.1412534,{LST=105.2507582849383},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,72,13114,2393628,02393628,Coon Rapids,C,3,6.03662686905E7,35697.0701162,{LST=107.92828772391205},"{""type"":""MultiPoint"",""coordinates"":[]}"
