system:index,ABC_SORT,CTU_CODE,CTU_ID,CTU_ID_CEN,CTU_NAME,CTU_TYPE,FIVE_COLOR,Shape_Area,Shape_Leng,mean_LST,.geo
0000000000000000009a,98,18116,2394614,02394614,Eden Prairie,C,1,9.10214011143E7,44123.6015797,{LST=93.03172793238238},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,248,45628,2395201,02395201,New Hope,C,1,1.319286305E7,30011.1007139,{LST=94.45779518823038},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,94,17288,2394586,02394586,Eagan,C,1,8.67076658906E7,37511.6586349,{LST=92.76095228034833},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,10,02026,2393979,02393979,Arden Hills,C,1,2.48471982567E7,23295.7909604,{LST=92.68688524339561},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,198,38006,2395756,02395756,Long Lake,C,2,2476043.10453,11016.4155439,{LST=94.08295327025688},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,312,56770,2396475,02396475,St. Bonifacius,C,2,2679906.80915,8974.28197218,{LST=93.12624674800756},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,34,07948,2393428,02393428,Brooklyn Center,C,2,2.16956175146E7,22084.0981805,{LST=94.4969881288984},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,166,31076,2395429,02395429,Inver Grove Heights,C,2,7.77207985319E7,46483.7111423,{LST=91.32815054787555},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,334,59350,2395854,02395854,Shakopee,C,2,7.71773870599E7,53699.9442595,{LST=93.82648582688589},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,284,51730,2396242,02396242,Plymouth,C,2,9.13786420497E7,44381.9685344,{LST=93.30919813730497},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,266,47221,2395261,02395261,North St. Paul,C,2,7798545.50143,13204.8591164,{LST=93.1652655493033},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,100,18188,2394621,02394621,Edina,C,2,4.13790209677E7,29263.8058864,{LST=93.44131520797517},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,176,34622,2395609,02395609,Lakeland,C,2,7612546.00337,16009.9741459,{LST=90.58306512388157},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,28,06382,2394183,02394183,Blaine,C,2,8.8150930446E7,48775.1335124,{LST=92.72015286073344},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,374,68548,2397211,02397211,Watertown,C,2,6880320.61028,26571.8487223,{LST=92.94722823793747},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,8,01900,2393967,02393967,Apple Valley,C,2,4.52471368628E7,27901.6911122,{LST=93.31685766974798},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,392,71428,2397369,02397369,Woodbury,C,2,9.24828505268E7,40908.9526087,{LST=91.35547597712457},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,132,25918,2394245,02394245,Greenwood,C,2,2674733.69456,7432.55405561,{LST=92.09258817039958},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,366,67036,2397135,02397135,Victoria,C,2,2.78318301237E7,27296.1790053,{LST=91.7705064487802},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,264,47104,2395259,02395259,North Oaks,C,2,2.22968414305E7,20515.5752667,{LST=90.06850741859382},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,126,25334,2394963,02394963,Grant,C,2,6.8659214547E7,43291.8454494,{LST=89.63408565769655},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,170,32174,2395483,02395483,Jordan,C,2,8461537.10044,23188.0689908,{LST=94.09920371538597},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,314,56950,2396487,02396487,St. Francis,C,2,6.05548196113E7,50326.924315,{LST=90.63996898399331},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,306,55852,2396435,02396435,Roseville,C,2,3.58286464539E7,25828.4992709,{LST=93.83342814589835},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,290,53098,2396316,02396316,Randolph,C,2,2560744.74771,6403.53488289,{LST=90.16936150876747},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,74,13168,2393634,02393634,Corcoran,C,2,9.33964395537E7,40925.1981443,{LST=90.05336368077728},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,348,62014,2395935,02395935,Spring Park,C,2,1567284.47614,6590.21081944,{LST=95.27630434581775},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,138,26666,2394274,02394274,Hamburg,C,2,520164.074132,6274.66969164,{LST=94.32313808264871},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,288,53026,2396311,02396311,Ramsey,C,2,7.72775580982E7,46587.3927579,{LST=91.95899021623812},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,274,47914,2395285,02395285,Oak Park Heights,C,2,8771323.63472,23287.9648076,{LST=93.22641607925155},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,224,41678,2395096,02395096,Mendota,C,2,781562.210733,5128.54843975,{LST=90.85506350704652},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,44,10144,2393762,02393762,Carver,C,2,1.1986888743E7,27459.7654482,{LST=91.90346865682781},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,66,12664,2393601,02393601,Cologne,C,2,4886859.92312,16948.1006209,{LST=92.28073699563554},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,368,67432,2397159,02397159,Waconia,C,2,1.34209146666E7,42957.3102366,{LST=94.15510164176827},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,360,66460,2397106,02397106,Vadnais Heights,C,3,2.12632360564E7,22739.9541305,{LST=92.30515142727513},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,88,15616,2394503,02394503,Dellwood,C,3,7283753.76388,21732.8104296,{LST=89.41978563362976},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,96,17486,2394596,02394596,East Bethel,C,3,1.23506064185E8,45882.4096811,{LST=90.74489542670408},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,322,58000,2396511,02396511,St. Paul,C,3,1.44986744519E8,60764.1601023,{LST=94.0842695834436},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,246,45556,2395195,02395195,New Germany,C,3,2589420.93739,13578.506012,{LST=90.75435163728808},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,16,04834,2394113,02394113,Belle Plaine,C,3,1.61764878004E7,38336.5738923,{LST=93.02336510245311},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,128,25622,2394988,02394988,Greenfield,C,3,5.56396344173E7,40090.2010307,{LST=90.19345539846151},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,178,34658,2395610,02395610,Lakeland Shores,C,3,1793847.3069,5643.75467848,{LST=90.54949115706997},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,268,46924,2395265,02395265,Northfield,C,3,3845132.36778,16980.8822495,{LST=89.93276479548604},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,254,45808,2395211,02395211,New Prague,C,3,5925265.02995,16201.0738538,{LST=94.10044989110915},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,220,41462,2395082,02395082,Medicine Lake,C,3,958895.242255,4922.33858218,{LST=92.13035782834426},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,390,70366,2397314,02397314,Willernie,C,3,330818.239614,3833.71347479,{LST=91.70627113086202},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,188,36836,2395696,02395696,Lexington,C,3,1784811.97733,8761.3551928,{LST=93.17548239628844},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,76,13456,2393644,02393644,Cottage Grove,C,3,9.78705435256E7,48474.9599896,{LST=90.33786276565982},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,276,47680,2395287,02395287,Oakdale,C,3,2.92919511496E7,30490.5262211,{LST=92.24379067517556},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,270,47520,2395278,02395278,Norwood Young America,C,3,6187192.75325,20620.7255872,{LST=93.20377349797401},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,234,43252,2395350,02395350,Minnetonka,C,3,7.24428214228E7,53181.3660757,{LST=92.5420965435815},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,258,46024,2395216,02395216,New Trier,C,3,490532.705615,3727.75402897,{LST=88.83783994853975},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,286,52594,2396284,02396284,Prior Lake,C,3,5.0509397081E7,48925.1412534,{LST=92.53759951688687},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,72,13114,2393628,02393628,Coon Rapids,C,3,6.03662686905E7,35697.0701162,{LST=93.17158576484027},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,58,10972,2393809,02393809,Chaska,C,3,4.61663039574E7,36204.0916756,{LST=92.52348043302838},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,298,54808,2396388,02396388,Robbinsdale,C,3,7721613.44308,13819.4106303,{LST=94.27854385966666},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,84,15022,2394471,02394471,Dayton,C,3,6.48592105892E7,35136.2645301,{LST=90.44567024505567},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,244,45430,2395187,02395187,New Brighton,C,3,1.83401507499E7,19934.1985564,{LST=93.67016659961688},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,331,58900,2396548,02396548,Scandia,C,3,1.02891563357E8,43856.1608298,{LST=89.15315939039546},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,278,48580,2396081,02396081,Orono,C,3,6.21367807286E7,59779.0907478,{LST=91.11077486847674},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,362,66802,2397127,02397127,Vermillion,C,3,2566570.55209,6581.5587579,{LST=87.92391102581992},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,24,06058,2394171,02394171,Birchwood Village,C,3,867163.546221,4536.5733209,{LST=89.93663784624101},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,192,37322,2395725,02395725,Lino Lakes,C,3,8.60552611155E7,52314.7385835,{LST=90.74618416631483},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,356,63544,2396006,02396006,Sunfish Lake,C,3,4382557.33767,8106.90469991,{LST=90.2479013066755},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,108,20078,2394717,02394717,Excelsior,C,3,2253559.32518,8007.63479825,{LST=94.54991358263372},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,32,06616,2394198,02394198,Bloomington,C,3,9.93174390501E7,45953.2818849,{LST=93.27708135601249},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,140,26864,2394282,02394282,Hampton,C,4,3253363.33174,7898.72293331,{LST=88.90708851312378},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,318,57220,2396500,02396500,St. Louis Park,C,4,2.79734795013E7,27156.0066054,{LST=94.42234235107591},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,296,54214,2396362,02396362,Richfield,C,4,1.80530711742E7,17981.2523684,{LST=94.72319409372018},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,308,56680,2396471,02396471,St. Anthony,C,4,6100706.36445,12769.2180635,{LST=93.58338498832867},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,80,14158,2393683,02393683,Crystal,C,4,1.51800831194E7,33917.4649057,{LST=93.85903910551801},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,240,44476,2395111,02395111,Mound,C,4,1.31253522251E7,17819.4192311,{LST=93.35278690944993},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,330,58738,2396543,02396543,Savage,C,4,4.2490968896E7,32994.6206664,{LST=92.82522701805372},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,6,01720,2393964,02393964,Anoka,C,4,1.84291961525E7,24026.015964,{LST=94.12436609299833},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,56,10918,2393799,02393799,Chanhassen,C,4,5.90378526362E7,43039.3574315,{LST=92.16540729927515},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,260,45790,2395227,02395227,Newport,C,4,1.00547505336E7,16600.4805667,{LST=91.86294178187921},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,86,15148,2394486,02394486,Deephaven,C,4,1.01145330689E7,16272.4023799,{LST=91.28781013001489},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,110,20420,2394738,02394738,Falcon Heights,C,4,5798036.37022,11249.4506272,{LST=93.56062839321434},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,236,43270,2395351,02395351,Minnetonka Beach,C,4,3971697.35149,8137.59796182,{LST=91.78876196230435},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,302,55186,2396415,02396415,Rogers,C,4,6.797439185E7,42227.9698676,{LST=91.84216924690747},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,22,05554,2394156,02394156,Bethel,C,4,2698776.72246,7336.74806169,{LST=91.01194209495087},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,226,41696,2395097,02395097,Mendota Heights,C,4,2.6005124678E7,30530.9080371,{LST=92.02596633360633},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,271,47536,2437910,02437910,Nowthen,C,4,9.11707968581E7,38230.2945292,{LST=90.27247117859072},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,120,22814,2394826,02394826,Fridley,C,4,2.79952458831E7,31458.5867116,{LST=94.79130431339729},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,12,04114,2394090,02394090,Bayport,C,4,4514956.87025,19540.6003787,{LST=91.93214204142312},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,136,26738,2394273,02394273,Ham Lake,C,4,9.26246607747E7,38530.9466401,{LST=90.52173224395032},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,50,10648,2393784,02393784,Centerville,C,4,6311613.76895,12856.7403104,{LST=91.94777518249273},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,172,34244,2395589,02395589,Lake Elmo,C,4,6.27000319195E7,35406.865302,{LST=90.21996141448861},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,204,39428,2395818,02395818,Mahtomedi,C,4,1.47476817108E7,31493.7124171,{LST=91.6186043578494},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,304,55726,2396433,02396433,Rosemount,C,4,9.11853976101E7,45138.0153772,{LST=91.0999768001942},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,300,55006,2396406,02396406,Rockford,C,4,759166.560471,6878.6584154,{LST=94.49803192032765},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,114,21770,2394789,02394789,Forest Lake,C,4,9.19093930949E7,38352.513823,{LST=90.09084471667961},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,336,59998,2395876,02395876,Shoreview,C,4,3.27424755423E7,35641.8394751,{LST=92.17697593397088},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,200,38222,2395764,02395764,Loretto,C,4,661837.949936,3254.13800434,{LST=94.81097722885816},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,174,34865,2395599,02395599,Lake St. Croix Beach,C,4,2550714.60382,7196.15056796,{LST=90.36242749276147},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,206,40166,2395838,02395838,Maple Grove,C,4,9.07661873471E7,42714.9036345,{LST=93.14920486115302},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,208,40256,2395841,02395841,Maple Plain,C,4,2775818.87775,8899.63042219,{LST=93.8702401802773},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,122,23318,2394871,02394871,Gem Lake,C,4,2861225.97768,7748.98299258,{LST=90.92799596813991},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,36,07966,2393429,02393429,Brooklyn Park,C,5,6.87035946959E7,41813.9033965,{LST=93.85633155773502},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,394,71500,2397370,02397370,Woodland,C,5,3002366.07016,6624.89921109,{LST=91.01060540709936},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,324,58018,2396516,02396516,St. Paul Park,C,5,9449264.53532,14839.7984104,{LST=91.60164956131634},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,2,00316,2393887,02393887,Afton,C,5,6.81968227703E7,38529.2727924,{LST=88.73071500448144},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,112,20618,2394747,02394747,Farmington,C,5,3.83976984654E7,48567.3867177,{LST=90.86198633937794},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,210,40382,2395846,02395846,Maplewood,C,5,4.66958970689E7,58011.0637893,{LST=92.39869550288316},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,358,65164,2397036,02397036,Tonka Bay,C,5,5448122.39513,10607.3203812,{LST=92.50981237099937},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,160,30140,2394417,02394417,Hopkins,C,5,1.05758033564E7,21435.2978594,{LST=94.81118032821414},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,40,08794,2393472,02393472,Burnsville,C,5,6.98752675373E7,38183.1741365,{LST=93.10551992175054},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,272,47690,2395282,02395282,Oak Grove,C,5,9.11436286867E7,40705.8810011,{LST=90.79347450108015},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,64,12376,2393579,02393579,Coates,C,5,3906016.30009,10832.8621921,{LST=90.36528230063367},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,238,43306,2395352,02395352,Minnetrista,C,5,8.01324123882E7,54686.9181614,{LST=90.89864330520808},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,124,24308,2394924,02394924,Golden Valley,C,5,2.7303424207E7,24214.4968886,{LST=93.4650034923371},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,186,35738,2395642,02395642,Lauderdale,C,5,1089322.94171,4412.35281471,{LST=94.6608554327066},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,382,69700,2397275,02397275,West St. Paul,C,5,1.29579368449E7,15116.5558187,{LST=93.24294245502986},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,102,18662,2394658,02394658,Elko New Market,C,5,9009883.58354,29588.5293956,{LST=91.8527685547029},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,152,27530,2394320,02394320,Hastings,C,5,3.10351949665E7,32194.4332271,{LST=90.93230746099205},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,68,12700,2393607,02393607,Columbia Heights,C,5,9107626.01321,15940.4229232,{LST=94.32451057224276},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,242,44530,2395118,02395118,Mounds View,C,5,1.07493523883E7,15358.9043103,{LST=93.00712334898564},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,70,12718,2393610,02393610,Columbus,C,5,1.23299674688E8,44906.2655247,{LST=90.26519782650816},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,222,41480,2395084,02395084,Medina,C,5,7.01540190336E7,37382.3456121,{LST=90.83417798036267},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,364,66820,665860,00665860,Vermillion Twp.,T,1,8.81737514789E7,46050.2931923,{LST=87.51338199723357},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,48,10450,663767,00663767,Cedar Lake Twp.,T,1,9.38093573635E7,38708.4096188,{LST=90.19654156581714},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,134,25982,664354,00664354,Grey Cloud Island Twp.,T,1,6917884.55415,13835.5356842,{LST=90.34253657561722},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,398,72130,666069,00666069,Young America Twp.,T,1,8.63585902742E7,65496.8811217,{LST=89.35803338887054},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,130,25802,664346,00664346,Greenvale Twp.,T,1,7.38973725772E7,40021.4041479,{LST=88.92240564240096},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,380,69520,665966,00665966,West Lakeland Twp.,T,1,3.28927777771E7,25426.6598889,{LST=89.63854241688},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,180,35108,664705,00664705,Laketown Twp.,T,1,6.97496071473E7,52259.1392532,{LST=90.40078631248277},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,326,58486,665551,00665551,San Francisco Twp.,T,1,6.23902615132E7,44839.4038395,{LST=90.08176249787275},"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,194,37376,664793,00664793,Linwood Twp.,T,1,9.35493039088E7,38516.6050177,{LST=89.98561790797147},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,78,13726,663886,00663886,Credit River Twp.,T,2,6.16157013734E7,33095.9493863,{LST=90.56175135485974},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,42,09406,663731,00663731,Camden Twp.,T,2,8.89798235933E7,47221.606938,{LST=89.2895576362594},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,18,04852,663556,00663556,Belle Plaine Twp.,T,2,9.79194815235E7,54144.0294252,{LST=89.45553456428777},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,92,16228,663994,00663994,Douglas Twp.,T,2,8.80976411689E7,47706.5998768,{LST=86.54861842779431},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,262,46330,665126,00665126,Nininger Twp.,T,2,4.23851958667E7,31163.0872948,{LST=87.80414081479587},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,144,26918,664388,00664388,Hancock Twp.,T,2,4.60867985933E7,28784.4124343,{LST=88.92837558669899},"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,46,10306,663763,00663763,Castle Rock Twp.,T,2,9.15737827974E7,46102.6670632,{LST=87.91365958460317},"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,252,45754,665104,00665104,New Market Twp.,T,3,8.38091689687E7,68189.2947995,{LST=90.24139013159534},"{""type"":""MultiPoint"",""coordinates"":[]}"
