system:index,CTU_NAME,avg_lst,regionAvg,regionSD,.geo
00000000000000000047,Hilltop,{LST=103.12647056234123},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,Rosemount,{LST=92.28037878894695},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,Watertown Twp.,{LST=89.09140567096301},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,Hamburg,{LST=95.64240268223922},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,South St. Paul,{LST=99.58732471059244},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,Mayer,{LST=94.63879192008382},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,Champlin,{LST=97.79765805964358},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,Shakopee,{LST=98.12569810961742},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,East Bethel,{LST=93.88317003973823},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,Brooklyn Park,{LST=99.81006243341695},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,Fridley,{LST=100.19549010461381},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,Maple Plain,{LST=95.84966988726163},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,Baytown Twp.,{LST=92.67328735673192},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,Loretto,{LST=97.11266396140167},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,Mahtomedi,{LST=93.37782742594187},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,Vermillion,{LST=88.63012687371041},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,Maple Grove,{LST=96.83029975642873},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,Osseo,{LST=103.07687032186307},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,Fort Snelling (unorg.),{LST=101.15747201864177},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,Credit River Twp.,{LST=90.80490338204383},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,Nininger Twp.,{LST=88.43358038703911},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,Eden Prairie,{LST=97.54332833686826},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,Rogers,{LST=94.46024821201868},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,Northfield,{LST=90.99593460282853},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,Hancock Twp.,{LST=87.01190292926916},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,Newport,{LST=94.12450722092944},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,Bethel,{LST=93.6896683094781},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,Blakeley Twp.,{LST=87.38909849087919},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,Circle Pines,{LST=94.69548044900964},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,Corcoran,{LST=90.793065410543},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,Tonka Bay,{LST=92.3014671223165},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,St. Francis,{LST=93.63190517974397},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,Spring Park,{LST=null},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,Stillwater,{LST=95.28903464909696},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,Excelsior,{LST=96.98974670716665},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,Victoria,{LST=93.03818938949802},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,Pine Springs,{LST=91.39620988221473},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,Lino Lakes,{LST=91.50578827469683},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,Marine on St. Croix,{LST=89.46056057112249},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,Spring Lake Twp.,{LST=90.3406574822224},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,Bayport,{LST=97.68061849488967},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,Columbia Heights,{LST=100.16480496106787},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,Elko New Market,{LST=93.7482998134029},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,Ham Lake,{LST=93.61286987701325},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,New Germany,{LST=91.21367588209431},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,West St. Paul,{LST=98.15817283675185},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,Stillwater Twp.,{LST=90.98876418717799},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,Douglas Twp.,{LST=89.64652456377033},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,Edina,{LST=98.29728679451185},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,Mounds View,{LST=96.99647693507025},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,Miesville,{LST=90.25335620388137},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,Waconia,{LST=96.51246956060905},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,Willernie,{LST=92.74695741755203},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,Mendota,{LST=91.90401817440312},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,Gem Lake,{LST=92.79684831958402},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,Little Canada,{LST=97.47653645595932},98.19403034886706,4.072773638354048,"{""type"":""MultiPoint"",""coordinates"":[]}"
