system:index,CTU_NAME,sq_miles,.geo
00000000000000000047,Hilltop,"{groups=[{tempbin=3, sum=0.013747096297155769}, {tempbin=4, sum=0.02479384451925659}, {tempbin=5, sum=0.08272767450596911}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,Rosemount,"{groups=[{tempbin=1, sum=21.54594890813541}, {tempbin=2, sum=2.5228403086133677}, {tempbin=3, sum=4.865335752919785}, {tempbin=4, sum=2.5929825220013742}, {tempbin=5, sum=1.9338030839917983}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,Watertown Twp.,"{groups=[{tempbin=1, sum=28.91212046272083}, {tempbin=2, sum=0.6182440897951545}, {tempbin=3, sum=0.23792111875112973}, {tempbin=4, sum=0.05659883091166994}, {tempbin=5, sum=0.047253907187896724}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,Hamburg,"{groups=[{tempbin=1, sum=0.01875959180310057}, {tempbin=2, sum=0.027152089919439702}, {tempbin=3, sum=0.11255803047432858}, {tempbin=4, sum=0.027892316225280777}, {tempbin=5, sum=7.405065488342284E-4}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,South St. Paul,"{groups=[{tempbin=1, sum=0.6168495424068227}, {tempbin=2, sum=0.4713713643205812}, {tempbin=3, sum=1.99990095071092}, {tempbin=4, sum=1.2566770777500222}, {tempbin=5, sum=1.4252741344333382}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,Mayer,"{groups=[{tempbin=1, sum=0.5782774022878545}, {tempbin=2, sum=0.18193406545750163}, {tempbin=3, sum=0.4837702669569578}, {tempbin=4, sum=0.1275306824033566}, {tempbin=5, sum=0.008370732671466067}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,Champlin,"{groups=[{tempbin=1, sum=2.110671355458872}, {tempbin=2, sum=1.200639015942683}, {tempbin=3, sum=3.588475870998844}, {tempbin=4, sum=0.5456469421549089}, {tempbin=5, sum=0.6238218225514504}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,Shakopee,"{groups=[{tempbin=1, sum=8.62678976552652}, {tempbin=2, sum=2.501294026934235}, {tempbin=3, sum=6.3779138537965805}, {tempbin=4, sum=3.811905236541023}, {tempbin=5, sum=6.071870666682679}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,East Bethel,"{groups=[{tempbin=1, sum=40.023695783381754}, {tempbin=2, sum=2.1060119648988698}, {tempbin=3, sum=1.1160611167498986}, {tempbin=4, sum=0.09306575946095592}, {tempbin=5, sum=0.04372905592457884}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,Brooklyn Park,"{groups=[{tempbin=1, sum=3.0163195192710894}, {tempbin=2, sum=2.289351741110784}, {tempbin=3, sum=9.510841839227083}, {tempbin=4, sum=5.174980449774042}, {tempbin=5, sum=5.531496443397726}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,Fridley,"{groups=[{tempbin=1, sum=1.1250293937494722}, {tempbin=2, sum=0.8970139653520387}, {tempbin=3, sum=2.916863543985214}, {tempbin=4, sum=1.4939998267146295}, {tempbin=5, sum=3.5497239412373403}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,Maple Plain,"{groups=[{tempbin=1, sum=0.33336498886259636}, {tempbin=2, sum=0.26533168398011986}, {tempbin=3, sum=0.34886110703675743}, {tempbin=4, sum=0.08131893612808243}, {tempbin=5, sum=0.03586807486521606}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,Baytown Twp.,"{groups=[{tempbin=1, sum=7.303170375511303}, {tempbin=2, sum=0.49775627184329185}, {tempbin=3, sum=0.2034373431282717}, {tempbin=4, sum=0.011301278190106201}, {tempbin=5, sum=7.369539528076171E-4}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,Loretto,"{groups=[{tempbin=1, sum=0.039030406742999166}, {tempbin=2, sum=0.07217098912897327}, {tempbin=3, sum=0.12053002763210471}, {tempbin=4, sum=0.023565582039825412}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,Mahtomedi,"{groups=[{tempbin=1, sum=2.1872910872451734}, {tempbin=2, sum=0.45293131695107924}, {tempbin=3, sum=0.6059044655037013}, {tempbin=4, sum=0.10164301842222301}, {tempbin=5, sum=0.08863403810125099}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,Vermillion,"{groups=[{tempbin=1, sum=0.8435559148260311}, {tempbin=2, sum=0.08549046494758293}, {tempbin=3, sum=0.06572429526818846}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
